ts,route,provider,task,approx_lines,latency_ms,ok
2025-11-06T12:19:46Z,orchestrator.route_task,codex,code_generation,50,0,1
2025-11-06T12:19:46Z,orchestrator.route_task,claude,analysis,100,0,1
2025-11-06T12:19:46Z,orchestrator.route_task,vibekeeper,entropy,20,0,1
2025-11-06T12:19:46Z,orchestrator.route_task,archivist,archive,10,0,0
2025-11-06T12:19:48Z,orchestrator.route_task,codex,code_generation,0,0,1
2025-11-06T12:19:48Z,orchestrator.route_task,claude,analysis,0,0,1
2025-11-06T12:19:48Z,orchestrator.route_task,claude,planning,0,0,1
2025-11-06T12:19:48Z,orchestrator.route_task,codex,code_generation,0,0,1
2025-11-06T12:19:48Z,orchestrator.route_task,vibekeeper,entropy,0,0,1
2025-11-06T13:30:59Z,omai_bridge.query,omai,context_query,0,1,0
2025-11-06T13:30:59Z,omai_bridge.query,omai,context_query,0,1,0
2025-11-06T13:37:31Z,omai_bridge.query,omai,context_query,0,1,0
2025-11-06T13:37:31Z,omai_bridge.query,omai,context_query,0,1,0
2025-11-06T13:37:31Z,omai_bridge.query,omai,context_query,0,2,0
2025-11-06T13:37:31Z,omai_bridge.query,omai,context_query,0,2,0
2025-11-06T16:55:35Z,omai_bridge.query,omai,context_query,4,2,1
2025-11-06T17:56:37Z,brain.plan,rag,planning,2,1,0
